event_uuid,relationship_to_event,award_uuid,award_name,entity_uuid,created_at,updated_at
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,76cd72e6-4610-4d0e-71a2-6f349a4c2e24,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,78e1385e-c44e-faad-a395-24560cd9bab7,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,7cf05910-1a9e-9673-d1db-4fb016aa6911,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,88b67860-7442-5ac9-6854-3b46c387d53b,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,99597857-82d9-dba3-1bb9-adeda0f3c2fd,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,b88a1e65-b58d-d580-aa27-fa05b5a5c678,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,b9d713d0-188e-0469-0fc7-e0d157d30552,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,c0cd6d82-a7c4-4a64-6a90-05150d5cd25f,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,c1c26f11-f889-e769-f2ef-bcefe2e80a41,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,cc7c79cf-2f5c-8ff6-3e3d-4e4bf7349f52,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,cf6bf15f-b842-6cdc-e345-016f7e95dd05,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
