,0,1
170,"('Headland Ventures', {})",534
171,"('Zanbato', {'region': 'SF Bay Area', 'cat': 'Finance', 'uuid': 'd671c829-ce27-d237-164a-3e972b0d7f5c'})",534
172,"('Jason Seats', {})",534
173,"('Rho Management', {})",534
174,"('Naguib Sawiris', {})",534
175,"('Sandeep Tandon', {})",534
176,"('Ronald Conway', {})",534
177,"('Start Garden', {})",534
178,"('Time Warner Investments', {})",534
179,"('ZoomSystems', {'region': 'SF Bay Area', 'cat': 'Hardware', 'uuid': '7c70da4c-72bc-fb38-d19c-83255cd8624d'})",381
180,"('FinTech Collective', {})",534
181,"('Drive Capital', {})",534
182,"('Jared Heyman', {})",534
183,"('Yoshinari Yoshikawa', {})",534
184,"('Neha Sampat', {})",534
185,"('Ed Sim', {})",534
186,"('Nomis Bay', {})",534
187,"('Frantz Medical Ventures', {})",534
188,"('David Jeske', {})",534
189,"('Vilicus Ventures', {})",534
190,"('Hapara', {'region': 'SF Bay Area', 'cat': 'EdTech', 'uuid': 'ec7f8bf5-a18d-5a6d-d695-2aeb05272a97'})",534
191,"('Perquest', {'region': 'SF Bay Area', 'cat': 'Information Services', 'uuid': '5299c1cc-d9a4-3c45-6586-a23be9fe3f66'})",534
192,"('Precise Light Surgical', {'region': 'SF Bay Area', 'cat': 'Biotechnology', 'uuid': '281e3277-b9e1-a108-6e59-1c3ee94996b1'})",534
193,"('Arun Sarin', {})",534
194,"('Wayne Wilkins', {})",534
195,"('ReadyPulse', {'region': 'SF Bay Area', 'cat': 'Software', 'uuid': 'c78faff6-1a5f-f9a4-031b-deaf13b94ddc'})",534
196,"('George Kellerman', {})",534
197,"('LiveRamp', {'region': 'SF Bay Area', 'cat': 'Advertising', 'uuid': '43b05caf-29ea-b42b-b7c7-37bae096ca5b'})",534
198,"('Christopher Burch', {})",534
199,"('Cargill Ventures', {})",534
200,"('Tektronix', {})",534
201,"('Erich Meyer', {})",534
202,"('LawPal', {'region': 'SF Bay Area', 'cat': 'Legal', 'uuid': '606e9e84-8200-d02a-4d7d-7e33d6e293cc'})",534
203,"('Yub', {'region': 'SF Bay Area', 'cat': 'E-Commerce', 'uuid': '01ffa310-393a-0698-8ad9-b1a8e1e92ebe'})",534
204,"('Philz Coffee', {'region': 'SF Bay Area', 'cat': 'Coffee', 'uuid': '712e3bd4-54c1-d355-3ff0-3fb8e1467121'})",409
205,"('Victory Park Capital', {})",426
206,"('AudioFeast', {'region': 'SF Bay Area', 'cat': 'Media and Entertainment', 'uuid': '1a6067c0-d5d7-95aa-8296-ec53672ac718'})",534
207,"('Nick Roach', {})",534
208,"('Dave Moellenhoff', {})",534
209,"('Amitree', {'region': 'SF Bay Area', 'cat': 'Real Estate', 'uuid': '5063c3f2-baff-3efd-4c2c-97964a064a60'})",534
210,"('Skystar Ventures', {})",534
211,"('RoboteX', {'region': 'SF Bay Area', 'cat': 'Consumer Electronics', 'uuid': '1184d2b5-220d-8e26-d457-88b19afac87e'})",534
212,"('Sohaib Abbasi', {})",534
213,"('UST Global', {})",534
214,"('Dream Incubator', {})",534
215,"('Osmo', {'region': 'SF Bay Area', 'cat': 'Consumer Electronics', 'uuid': '9b95280f-2cc4-3b1c-6eeb-e146a13a1ab8'})",534
216,"('Joshua Kushner', {})",534
217,"('Nick Bilogorskiy', {})",534
218,"('Simon Equity Partners, LLC', {})",534
219,"('Jonathan Curtis', {})",534
220,"('Thomas Weisel Partners', {'region': 'SF Bay Area', 'cat': 'Banking', 'uuid': 'c5e58117-833c-b801-694f-935644b70581'})",196
221,"('Lithium Technologies', {'region': 'SF Bay Area', 'cat': 'Social CRM', 'uuid': '7b173a9a-22dd-d78e-4d9f-f43d57ce18ad'})",316
222,"('E-Color', {'region': 'SF Bay Area', 'cat': 'E-Commerce', 'uuid': 'ca746334-b728-af5d-1465-b9c89ef4f319'})",534
223,"('Sam Choi', {})",534
224,"('William McLean', {})",534
225,"('Jeremy Wenokur', {})",534
226,"('Syno Capital', {})",534
227,"('SocialPandas', {'region': 'SF Bay Area', 'cat': 'Social Media', 'uuid': 'a33c92ae-e6d9-7ef1-0d62-97ef90561164'})",534
228,"('The RASI Trust', {})",534
229,"('Sky', {})",534
230,"('Kickball Labs', {'region': 'SF Bay Area', 'cat': 'Art', 'uuid': 'a95e2363-22d0-f5e3-8dee-22ce05029570'})",534
